PLAYER\DEALER;A;10;9;8;7;6;5;4;3;2
A-A;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
10-10;S;S;S;S;S;S;S;S;S;S
9-9;S;S;SP;SP;S;SP;SP;SP;SP;SP
8-8;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
7-7;H;S;H;SP;SP;SP;SP;SP;SP;SP
6-6;H;H;H;H;SP;SP;SP;SP;SP;SP
5-5;H;H;Dh;Dh;Dh;Dh;Dh;Dh;Dh;Dh
4-4;H;H;H;H;H;SP;SP;SP;H;H
3-3;H;H;H;SP;SP;SP;SP;SP;SP;SP
2-2;H;H;H;H;SP;SP;SP;SP;SP;SP
17+;S;S;S;S;S;S;S;S;S;S
16;H;H;H;H;H;S;S;S;S;S
15;H;H;H;H;H;S;S;S;S;S
14;H;H;H;H;H;S;S;S;S;S
13;H;H;H;H;H;S;S;S;S;S
12;H;H;H;H;H;S;S;S;H;H
11;Dh;Dh;Dh;Dh;Dh;Dh;Dh;Dh;Dh;Dh
10;H;H;Dh;Dh;Dh;Dh;Dh;Dh;Dh;Dh
9;H;H;H;H;H;Dh;Dh;Dh;Dh;Dh
8;H;H;H;H;H;Dh;Dh;H;H;H
7-;H;H;H;H;H;H;H;H;H;H
A-9;S;S;S;S;S;S;S;S;S;S
A-8;S;S;S;S;S;Ds;S;S;S;S
A-7;S;H;H;S;S;Ds;Ds;Ds;Ds;S
A-6;H;H;H;H;H;Dh;Dh;Dh;Dh;Dh
A-5;H;H;H;H;H;Dh;Dh;Dh;H;H
A-4;H;H;H;H;H;Dh;Dh;Dh;H;H
A-3;H;H;H;H;H;Dh;Dh;Dh;H;H
A-2;H;H;H;H;H;Dh;Dh;Dh;H;H
